,date,count_sum,power,dey,month,year,power_res
98,2011-04-09,21,C1.91,09,04,2011,0.191
99,2011-04-10,18,B7.34,10,04,2011,0.07339999999999999
100,2011-04-11,27,C3.23,11,04,2011,0.323
101,2011-04-12,37,C4.51,12,04,2011,0.45099999999999996
102,2011-04-13,32,C3.66,13,04,2011,0.366
103,2011-04-14,32,C7.12,14,04,2011,0.712
104,2011-04-15,28,M1.94,15,04,2011,1.94
105,2011-04-16,22,C8.27,16,04,2011,0.827
106,2011-04-17,13,C2.09,17,04,2011,0.209
107,2011-04-18,18,C2.71,18,04,2011,0.271
108,2011-04-19,22,C1.48,19,04,2011,0.148
109,2011-04-20,18,C5.81,20,04,2011,0.581
110,2011-04-21,17,M1.23,21,04,2011,1.23
111,2011-04-22,5,M2.63,22,04,2011,2.63
112,2011-04-23,15,C3.52,23,04,2011,0.352
113,2011-04-24,9,C3.47,24,04,2011,0.34700000000000003
114,2011-04-25,8,C1.34,25,04,2011,0.134
115,2011-04-26,24,B6.54,26,04,2011,0.0654
116,2011-04-27,28,C2.94,27,04,2011,0.294
117,2011-04-28,33,C3.54,28,04,2011,0.354
118,2011-04-29,34,C5.47,29,04,2011,0.5469999999999999
119,2011-04-30,17,C4.71,30,04,2011,0.471
120,2011-05-01,17,C9.34,01,05,2011,0.9339999999999999
121,2011-05-02,30,C1.72,02,05,2011,0.172
122,2011-05-03,26,C1.96,03,05,2011,0.196
123,2011-05-04,24,C1.33,04,05,2011,0.133
124,2011-05-05,27,C1.15,05,05,2011,0.11499999999999999
125,2011-05-06,32,B5.58,06,05,2011,0.0558
126,2011-05-07,20,B4.73,07,05,2011,0.0473
127,2011-05-08,16,B6.29,08,05,2011,0.0629
128,2011-05-09,26,C7.77,09,05,2011,0.7769999999999999
129,2011-05-10,29,B5.96,10,05,2011,0.0596
130,2011-05-11,32,C1.16,11,05,2011,0.11599999999999999
131,2011-05-12,29,C2.86,12,05,2011,0.286
132,2011-05-13,22,B3.21,13,05,2011,0.0321
133,2011-05-14,23,B3.01,14,05,2011,0.0301
134,2011-05-15,15,C6.93,15,05,2011,0.693
135,2011-05-16,32,B8.19,16,05,2011,0.0819
136,2011-05-17,24,B7.66,17,05,2011,0.0766
137,2011-05-18,35,C2.95,18,05,2011,0.29500000000000004
138,2011-05-19,31,B5.14,19,05,2011,0.051399999999999994
139,2011-05-20,23,B1.97,20,05,2011,0.0197
140,2011-05-21,21,B3.99,21,05,2011,0.039900000000000005
141,2011-05-22,20,B2.49,22,05,2011,0.024900000000000002
142,2011-05-23,28,B2.84,23,05,2011,0.028399999999999998
143,2011-05-24,24,B3.03,24,05,2011,0.030299999999999997
144,2011-05-25,33,C2.02,25,05,2011,0.202
145,2011-05-26,32,B6.29,26,05,2011,0.0629
146,2011-05-27,34,C8.12,27,05,2011,0.8119999999999999
147,2011-05-28,26,M1.67,28,05,2011,1.67
148,2011-05-29,12,M2.01,29,05,2011,2.01
149,2011-05-30,31,M1,30,05,2011,1.0
150,2011-05-31,38,C2.7,31,05,2011,0.27
151,2011-06-01,27,C5.92,01,06,2011,0.592
152,2011-06-02,14,C5.37,02,06,2011,0.537
153,2011-06-03,31,C3.64,03,06,2011,0.364
154,2011-06-04,26,C1.11,04,06,2011,0.11100000000000002
155,2011-06-05,21,B5.05,05,06,2011,0.050499999999999996
156,2011-06-06,21,C1.85,06,06,2011,0.185
157,2011-06-07,32,M3.64,07,06,2011,3.64
158,2011-06-08,27,B9.87,08,06,2011,0.0987
159,2011-06-09,26,C5.88,09,06,2011,0.588
160,2011-06-10,34,C4.16,10,06,2011,0.41600000000000004
161,2011-06-11,14,B5.74,11,06,2011,0.0574
162,2011-06-12,18,C1.24,12,06,2011,0.124
163,2011-06-13,19,C1.82,13,06,2011,0.182
164,2011-06-14,33,M1.99,14,06,2011,1.99
165,2011-06-15,28,C4.59,15,06,2011,0.45899999999999996
166,2011-06-16,29,M1.02,16,06,2011,1.02
167,2011-06-17,33,C5.65,17,06,2011,0.5650000000000001
168,2011-06-18,19,C1.26,18,06,2011,0.126
169,2011-06-19,12,C6.74,19,06,2011,0.674
170,2011-06-20,31,B5.84,20,06,2011,0.0584
171,2011-06-21,31,M1.11,21,06,2011,1.11
172,2011-06-22,34,B4.1,22,06,2011,0.040999999999999995
173,2011-06-23,37,B8.2,23,06,2011,0.08199999999999999
174,2011-06-24,7,B6.36,24,06,2011,0.0636
175,2011-06-25,17,B6.25,25,06,2011,0.0625
176,2011-06-26,17,B5.16,26,06,2011,0.0516
177,2011-06-27,23,C1.08,27,06,2011,0.10800000000000001
178,2011-06-28,32,C1.38,28,06,2011,0.13799999999999998
179,2011-06-29,26,C1.05,29,06,2011,0.10500000000000001
180,2011-06-30,28,B5.03,30,06,2011,0.050300000000000004
181,2011-07-01,40,B7.71,01,07,2011,0.0771
182,2011-07-02,10,B5.3,02,07,2011,0.053
183,2011-07-03,14,C3.1,03,07,2011,0.31
184,2011-07-04,28,B3.87,04,07,2011,0.0387
185,2011-07-05,26,B4.19,05,07,2011,0.04190000000000001
186,2011-07-06,21,B5.01,06,07,2011,0.0501
187,2011-07-07,36,C1.54,07,07,2011,0.154
188,2011-07-08,33,C4.56,08,07,2011,0.45599999999999996
189,2011-07-09,10,B7.03,09,07,2011,0.0703
190,2011-07-10,18,B4.63,10,07,2011,0.0463
191,2011-07-11,33,C3.75,11,07,2011,0.375
192,2011-07-12,26,C2.85,12,07,2011,0.28500000000000003
193,2011-07-13,37,B8.16,13,07,2011,0.0816
194,2011-07-14,27,B5.76,14,07,2011,0.0576
195,2011-07-15,38,B5.2,15,07,2011,0.052000000000000005
196,2011-07-16,13,B8.95,16,07,2011,0.0895
197,2011-07-17,13,C1.14,17,07,2011,0.11399999999999999
198,2011-07-18,26,C1.55,18,07,2011,0.155
199,2011-07-19,33,C1.03,19,07,2011,0.10300000000000001
200,2011-07-20,25,C1.19,20,07,2011,0.119
201,2011-07-21,21,B5.18,21,07,2011,0.0518
202,2011-07-22,23,B8.14,22,07,2011,0.0814
203,2011-07-23,21,B7.85,23,07,2011,0.0785
204,2011-07-24,7,C1.07,24,07,2011,0.10700000000000001
205,2011-07-25,26,C1.04,25,07,2011,0.10400000000000001
206,2011-07-26,23,C5.49,26,07,2011,0.549
207,2011-07-27,31,M1.65,27,07,2011,1.65
208,2011-07-28,27,C7.67,28,07,2011,0.767
209,2011-07-29,23,C9.07,29,07,2011,0.907
210,2011-07-30,15,X1.33,30,07,2011,13.3
211,2011-07-31,11,C5.44,31,07,2011,0.544
213,2011-08-02,19,M2.13,02,08,2011,2.13
214,2011-08-03,26,M8.68,03,08,2011,8.68
215,2011-08-04,26,X1.33,04,08,2011,13.3
216,2011-08-05,24,C2.9,05,08,2011,0.29
217,2011-08-06,24,C5.98,06,08,2011,0.5980000000000001
218,2011-08-07,9,C3.13,07,08,2011,0.313
219,2011-08-08,23,M5.03,08,08,2011,5.03
220,2011-08-09,22,X10,09,08,2011,100.0
221,2011-08-10,17,C8.76,10,08,2011,0.876
222,2011-08-11,20,C8.9,11,08,2011,0.89
223,2011-08-12,20,B5.22,12,08,2011,0.052199999999999996
224,2011-08-13,15,B2.72,13,08,2011,0.027200000000000002
225,2011-08-14,12,C1.31,14,08,2011,0.131
226,2011-08-15,14,C4.86,15,08,2011,0.48600000000000004
227,2011-08-16,21,C1.89,16,08,2011,0.189
228,2011-08-17,10,C4.88,17,08,2011,0.488
229,2011-08-18,15,C2.33,18,08,2011,0.233
230,2011-08-19,12,B4.6,19,08,2011,0.046
231,2011-08-20,14,C4.18,20,08,2011,0.418
232,2011-08-21,8,C2.19,21,08,2011,0.219
233,2011-08-22,21,C1.63,22,08,2011,0.16299999999999998
234,2011-08-23,23,B8.2,23,08,2011,0.08199999999999999
235,2011-08-24,14,C1.6,24,08,2011,0.16
236,2011-08-25,17,C1.37,25,08,2011,0.137
237,2011-08-26,15,C3.38,26,08,2011,0.33799999999999997
238,2011-08-27,6,C1.25,27,08,2011,0.125
239,2011-08-28,12,B7.85,28,08,2011,0.0785
240,2011-08-29,18,C5.31,29,08,2011,0.5309999999999999
241,2011-08-30,19,C7.86,30,08,2011,0.786
242,2011-08-31,24,C3.26,31,08,2011,0.32599999999999996
243,2011-09-01,21,C2.94,01,09,2011,0.294
244,2011-09-02,25,C2.7,02,09,2011,0.27
245,2011-09-03,17,C3.64,03,09,2011,0.364
246,2011-09-04,14,M4.64,04,09,2011,4.64
247,2011-09-05,27,M2.31,05,09,2011,2.31
248,2011-09-06,33,X3.01,06,09,2011,30.099999999999998
249,2011-09-07,18,X2.58,07,09,2011,25.8
250,2011-09-08,23,M9.58,08,09,2011,9.58
251,2011-09-09,34,M1.78,09,09,2011,1.78
252,2011-09-10,15,M1.59,10,09,2011,1.59
253,2011-09-11,13,C9.48,11,09,2011,0.9480000000000001
254,2011-09-12,37,M1.42,12,09,2011,1.42
255,2011-09-13,29,C4.16,13,09,2011,0.41600000000000004
256,2011-09-14,23,M1.32,14,09,2011,1.32
257,2011-09-15,41,C6.61,15,09,2011,0.661
258,2011-09-16,42,M1.33,16,09,2011,1.33
259,2011-09-17,18,C3.65,17,09,2011,0.365
260,2011-09-18,16,C5.48,18,09,2011,0.548
261,2011-09-19,35,C9.95,19,09,2011,0.9949999999999999
